id_student,id_student_original,id_year,id_grade,id_class_group,id_school,id_student_16_19,id_school_16_19
1,33613,2016,3,A,2415,14374,569
2,19294,2016,3,A,1842,8001,273
3,19587,2016,3,,1432,8142,82
4,29985,2016,3,A,2280,12800,505
5,6982,2016,3,A,2040,2606,390
6,37650,2016,3,A,2367,16186,546
7,19325,2016,3,B,2344,8015,534
8,18837,2016,3,B,1663,7787,192
9,40779,2016,3,,1911,,329
10,22106,2016,3,A,2081,9248,410
11,14814,2016,3,C,1842,,273
12,27886,2016,3,A,2030,11834,385
13,2031,2016,3,A,1945,468,346
14,5279,2016,3,B,1881,,288
15,37605,2016,3,A,1826,,
16,19348,2016,3,A,2002,8030,371
17,19353,2016,3,C,1538,8033,132
18,35034,2016,3,A,2272,15003,501
19,23328,2016,3,A,2457,9796,589
20,4333,2016,3,A,1266,1454,5
21,13294,2016,3,A,2469,5398,595
22,30408,2016,3,D,2034,12982,387
23,19395,2016,3,A,2338,8047,531
24,4534,2016,3,A,1747,1538,230
25,3172,2016,3,A,1270,944,7
26,19404,2016,3,B,2383,8052,554
27,19407,2016,3,A,1683,8054,199
28,35799,2016,3,A,1788,,249
29,19412,2016,3,B,1780,8056,245
30,19413,2016,3,A,1354,8057,44
31,11969,2016,3,B,2038,4808,389
32,21688,2016,3,E,2473,,597
33,19427,2016,3,A,1734,8066,224
34,34366,2016,3,,2085,14710,412
35,8729,2016,3,,2282,3360,
36,24606,2016,3,,2284,10357,507
37,26658,2016,3,A,1757,11283,234
38,19463,2016,3,A,1792,8078,251
39,,2016,3,A,2284,,507
40,24881,2016,3,A,2060,10490,399
41,22196,2016,3,A,1887,9287,317
42,21773,2016,3,,2282,9087,
43,41479,2016,3,,1751,,231
44,40726,2016,3,,2437,17446,580
45,37411,2016,3,,2344,16069,
46,19495,2016,3,A,1524,8093,125
47,2333,2016,3,,1773,601,
48,19496,2016,3,A,2140,8094,437
49,19497,2016,3,A,1402,8095,67
50,10598,2016,3,,2518,4209,
51,18106,2016,3,,1564,,145
52,19516,2016,3,,2553,8106,
53,7458,2016,3,,2276,,503
54,15613,2016,3,,1492,6401,
55,12355,2016,3,A,1534,4978,130
56,35616,2016,3,,2075,15265,407
57,10536,2016,3,,2097,4172,418
58,19536,2016,3,B,2289,8119,509
59,19540,2016,3,B,2120,8121,427
60,19544,2016,3,U,2116,8124,425
61,23895,2016,3,A,2302,10038,514
62,38780,2016,3,C,1915,,331
63,11936,2016,3,A,2559,4791,312
64,10328,2016,3,D,2229,4072,480
65,,2016,3,M,2106,,421
66,19574,2016,3,,1810,8136,260
67,19575,2016,3,A,2451,8137,586
68,19576,2016,3,C,1542,8138,134
69,1624,2016,3,A,2525,86,303
70,7949,2016,3,B,1540,3034,133
71,12785,2016,3,A,1796,5172,253
72,34380,2016,3,A,1663,14715,192
73,2015,2016,3,B,1305,457,22
74,3429,2016,3,A,1426,1061,79
75,39544,2016,3,A,2427,16975,575
76,19608,2016,3,A,2360,8152,542
77,13809,2016,3,,2537,5616,308
78,18117,2016,3,,1552,7473,139
79,18044,2016,3,B,1812,7445,261
80,19619,2016,3,B,1476,8158,101
81,19620,2016,3,A,1486,8159,106
82,16843,2016,3,A,1600,6929,162
83,35313,2016,3,B,2527,15123,304
84,27357,2016,3,B,2036,11586,388
85,37541,2016,3,,2083,16134,411
86,13922,2016,3,B,2383,5660,554
87,32436,2016,3,A,1701,13860,208
88,15698,2016,3,A,2205,6434,469
89,13655,2016,3,A,2543,5548,607
90,19645,2016,3,A,1828,8176,266
91,6263,2016,3,A,2099,2288,
92,28030,2016,3,A,2049,11901,394
93,19651,2016,3,A,1703,8178,209
94,19660,2016,3,A,2360,8182,542
95,10522,2016,3,A,2453,4166,587
96,24783,2016,3,A,1830,10447,267
97,19671,2016,3,B,2038,8186,389
98,19673,2016,3,A,2190,8187,461
99,9342,2016,3,C,2543,3637,607
100,24685,2016,3,A,1983,10394,363
101,26465,2016,3,C,2457,11201,589
102,13334,2016,3,A,1614,5417,169
103,15113,2016,3,C,2038,6186,389
104,23104,2016,3,,1673,9696,
105,17971,2016,3,,2400,7413,
106,13423,2016,3,C,2457,5448,589
107,22217,2016,3,A,2491,,601
108,9172,2016,3,A,2483,3556,289
109,3322,2016,3,,2553,1024,
110,34769,2016,3,A,2375,14883,550
111,20781,2016,3,,1554,8662,140
112,33592,2016,3,A,1687,14366,201
113,17576,2016,3,A,2352,7242,538
114,9087,2016,3,A,2400,3517,562
115,34955,2016,3,C,2539,14967,606
116,19732,2016,3,,2429,8220,
117,21911,2016,3,A,2392,,558
118,19737,2016,3,B,2518,8224,300
119,16914,2016,3,B,1909,6955,328
120,3472,2016,3,A,1508,1084,117
121,19744,2016,3,B,1520,8226,123
122,36501,2016,3,,2429,15681,
123,19746,2016,3,A,2064,8227,401
124,25346,2016,3,A,2229,10702,480
125,16446,2016,3,A,2138,6761,436
126,8964,2016,3,,1598,3460,161
127,30601,2016,3,,1977,13067,360
128,30386,2016,3,C,2128,12968,431
129,19767,2016,3,A,1394,8239,63
130,2041,2016,3,,1460,472,93
131,25745,2016,3,A,1276,10873,9
132,14651,2016,3,A,2529,5979,
133,40386,2016,3,,1644,,183
134,36521,2016,3,A,2531,15687,305
135,19782,2016,3,B,2091,8245,415
136,27142,2016,3,,2371,,548
137,33407,2016,3,,1362,14283,48
138,17184,2016,3,A,2142,7068,438
139,19791,2016,3,A,2516,8249,299
140,17170,2016,3,B,2168,,451
141,19796,2016,3,C,1540,8252,133
142,4631,2016,3,B,2289,1582,509
143,36038,2016,3,B,2506,15465,604
144,11645,2016,3,A,1285,4658,13
145,1702,2016,3,B,1775,315,243
146,5108,2016,3,C,2034,1789,387
147,17374,2016,3,,1616,7153,170
148,9940,2016,3,B,2126,3904,430
149,29011,2016,3,A,1424,12347,78
150,19846,2016,3,B,1757,8269,234
151,19848,2016,3,A,2128,8271,431
152,19849,2016,3,B,2441,8272,582
153,31729,2016,3,,1683,13557,
154,9813,2016,3,A,2040,3844,390
155,19855,2016,3,B,1867,8275,282
156,29276,2016,3,B,1504,12452,115
157,19857,2016,3,,2276,8277,503
158,40633,2016,3,,1538,17397,132
159,18978,2016,3,,1414,7866,
160,26280,2016,3,B,2383,11108,554
161,1825,2016,3,A,2148,367,441
162,4231,2016,3,C,1410,1409,71
163,,2016,3,,1590,,157
164,19932,2016,3,C,1334,8306,34
165,19900,2016,3,A,1592,8293,158
166,19914,2016,3,,2284,8297,507
167,17585,2016,3,A,1360,7247,47
168,41467,2016,3,,1332,,33
169,8048,2016,3,A,2245,3074,487
170,32375,2016,3,D,2475,13841,598
171,4455,2016,3,U,1370,1505,
172,19949,2016,3,A,1422,8311,77
173,19953,2016,3,,2253,8313,
174,7612,2016,3,C,1270,2884,7
175,19956,2016,3,A,1338,8315,36
176,19967,2016,3,A,1665,8317,193
177,7606,2016,3,C,1486,2881,106
178,19986,2016,3,B,1771,8325,241
179,19987,2016,3,C,1486,8326,106
180,19989,2016,3,A,1338,8327,36
181,38054,2016,3,B,1926,16363,337
182,19991,2016,3,A,2089,8329,414
183,14595,2016,3,B,1838,5954,271
184,19186,2016,3,B,1759,,235
185,17019,2016,3,A,2062,,400
186,10011,2016,3,C,1414,3938,73
187,11386,2016,3,B,2427,,575
188,24222,2016,3,A,1338,10190,36
189,35486,2016,3,,1911,15207,329
190,31296,2016,3,A,2392,13375,558
191,20232,2016,3,B,1299,8434,19
192,36342,2016,3,A,2473,15610,597
193,24751,2016,3,A,1747,10433,230
194,20012,2016,3,B,2200,8344,466
195,7733,2016,3,B,2091,2940,415
196,20025,2016,3,A,2101,8349,419
197,20039,2016,3,C,2512,8355,298
198,38016,2016,3,,1971,,
199,9123,2016,3,A,2012,3535,376
200,20046,2016,3,B,2118,8360,426
201,100045,2016,3,,2178,,456
202,40113,2016,3,A,1546,17214,136
203,25455,2016,3,B,1492,10750,109
204,9006,2016,3,C,2225,3481,478
205,20093,2016,3,A,2322,8373,523
206,36171,2016,3,,2207,15528,470
207,31878,2016,3,B,1400,13625,66
208,36244,2016,3,C,2475,15563,598
209,24863,2016,3,A,1450,10483,89
210,20109,2016,3,A,2506,8381,604
211,10622,2016,3,A,2012,4221,376
212,28696,2016,3,A,1426,12206,79
213,24295,2016,3,A,1671,10221,195
214,37222,2016,3,B,1832,15980,268
215,4850,2016,3,,1852,1679,
216,14537,2016,3,A,1685,5930,200
217,31362,2016,3,A,1358,13406,46
218,15022,2016,3,B,2350,6141,537
219,5468,2016,3,,2194,,463
220,22137,2016,3,,1268,,6
221,13614,2016,3,B,1476,5527,101
222,3198,2016,3,B,1687,961,201
223,20172,2016,3,B,1424,8409,78
224,8386,2016,3,,1612,3224,
225,38572,2016,3,B,1629,16568,175
226,32248,2016,3,,2405,13779,564
227,20182,2016,3,B,2225,8414,478
228,31802,2016,3,A,1530,13586,128
229,24113,2016,3,A,2419,10138,571
230,23676,2016,3,C,1274,9951,8
231,9930,2016,3,A,1470,3898,98
232,34611,2016,3,B,2419,14814,571
233,40545,2016,3,,2360,17352,542
234,20206,2016,3,A,1266,8426,5
235,20218,2016,3,,1810,8428,260
236,19790,2016,3,A,2130,8248,432
237,20238,2016,3,B,2383,8437,554
238,14064,2016,3,A,1790,5725,250
239,18921,2016,3,A,1402,,67
240,40189,2016,3,A,2202,17248,467
241,33036,2016,3,A,1454,14118,91
242,21155,2016,3,,2209,8825,471
243,6469,2016,3,A,1629,2380,175
244,20269,2016,3,D,1728,8450,222
245,11210,2016,3,A,1935,4470,341
246,22511,2016,3,A,1396,,64
247,20272,2016,3,,1560,8452,143
248,16041,2016,3,B,1540,6583,133
249,40391,2016,3,,1396,17285,64
250,38450,2016,3,,2504,16521,600
251,1711,2016,3,A,1939,320,343
252,4171,2016,3,A,1909,,328
253,10004,2016,3,B,2038,3936,389
254,36929,2016,3,A,2158,15858,446
255,20309,2016,3,B,2028,8468,384
256,20313,2016,3,B,1283,8469,12
257,20321,2016,3,P,1289,8472,15
258,30880,2016,3,,2034,13189,
259,20330,2016,3,A,1667,8475,194
260,4499,2016,3,B,2014,1522,377
261,20335,2016,3,A,2255,8476,492
262,25767,2016,3,,2101,10885,419
263,30205,2016,3,A,2225,12892,478
264,10097,2016,3,,1466,3983,96
265,9036,2016,3,D,1538,3495,132
266,18815,2016,3,B,1332,7773,33
267,36972,2016,3,B,2030,15877,385
268,26438,2016,3,B,1528,11189,127
269,14503,2016,3,A,2461,5921,591
270,20381,2016,3,,1728,8492,222
271,31006,2016,3,B,1424,13252,78
272,7737,2016,3,A,1767,2942,239
273,40964,2016,3,,2243,17500,486
274,20391,2016,3,A,1873,8499,285
275,4699,2016,3,A,2523,1612,302
276,21496,2016,3,B,1470,8975,98
277,20401,2016,3,A,1396,8506,64
278,38725,2016,3,A,1528,16645,127
279,29780,2016,3,B,1786,12688,248
280,6384,2016,3,A,2018,2344,379
281,40003,2016,3,A,1336,17164,35
